snp	trait	gene	eqtl_type	chromq	posq	rsidq	chromt	post	rsidt	corr	dprime
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31229728	rs147219155	6	31232110	rs3130542	0.980899	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31229728	rs147219155	6	31232110	rs3130542	0.980899	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31230758	rs2394951	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230758	rs2394951	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31230881	rs2394952	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230881	rs2394952	6	31232110	rs3130542	0.996767	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31233352	rs2394953	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233352	rs2394953	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31233394	rs2394954	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233394	rs2394954	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31233395	rs2394955	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233395	rs2394955	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31233455	rs2394956	6	31232110	rs3130542	0.996754	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233455	rs2394956	6	31232110	rs3130542	0.996754	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31233520	rs2394957	6	31232110	rs3130542	0.990255	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31233520	rs2394957	6	31232110	rs3130542	0.990255	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31230989	rs2894198	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-C	spatial	6	31230989	rs2894198	6	31232110	rs3130542	0.965676	1.0
rs3130542	Chronic hepatitis B infection	HLA-B	spatial	6	31233269	rs2894202	6	31232110	rs3130542	1.0	1.0
